Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.342,0.07636,-0.1681,-0.27846,0.10422,0.17112,-0.21844,0.26662,0.1591,0.1885,0.18636,-0.02402,-0.25062
0.344,0.08442,-0.16322,-0.27846,0.09678,0.17112,-0.21844,0.2716,0.1591,0.1885,0.18636,-0.02184,-0.25062
0.346,0.02812,-0.1681,-0.2447,0.12658,0.12102,-0.20266,0.28156,0.16328,0.19388,0.1898,-0.01528,-0.23948
0.348,0.02812,-0.15836,-0.23346,0.11912,0.11268,-0.19212,0.28654,0.16748,0.19748,0.19324,-0.0131,-0.23206
0.35,0.0442,-0.13886,-0.2222,0.09678,0.11268,-0.17634,0.28654,0.16538,0.19388,0.1898,-0.01748,-0.23948
0.352,0.0442,-0.12424,-0.20534,0.08188,0.09598,-0.16054,0.28654,0.16328,0.19568,0.1898,-0.01748,-0.23578
0.354,0.0442,-0.1145,-0.19408,0.07444,0.08764,-0.15002,0.29152,0.16328,0.19568,0.19152,-0.01528,-0.23206
0.356,0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.27658,0.157,0.19388,0.19324,-0.01528,-0.23578
0.358,0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.26162,0.14864,0.1885,0.18808,-0.01748,-0.23578
0.36,0.03616,-0.10476,-0.1772,0.07444,0.07094,-0.13948,0.2417,0.13816,0.18132,0.1812,-0.02402,-0.23948
0.362,0.05224,-0.09988,-0.18284,0.05954,0.08764,-0.13948,0.22674,0.13188,0.17772,0.1812,-0.02184,-0.23948
0.364,0.0442,-0.10476,-0.18284,0.067,0.07928,-0.13948,0.22176,0.12978,0.17414,0.1795,-0.01966,-0.23578
0.366,0.06832,-0.09988,-0.19408,0.0521,0.10434,-0.14476,0.21678,0.13398,0.17592,0.1812,-0.0131,-0.22464
0.368,0.08442,-0.07064,-0.1772,0.02232,0.10434,-0.11844,0.2118,0.13398,0.17772,0.18464,-0.00874,-0.2172
0.37,0.07636,-0.07552,-0.17158,0.02976,0.08764,-0.11844,0.2068,0.1277,0.17592,0.1812,-0.01092,-0.22092
0.372,0.08442,-0.0804,-0.18284,0.02976,0.10434,-0.12896,0.19684,0.1277,0.17592,0.18464,-0.01092,-0.22092
0.374,0.08442,-0.0804,-0.18284,0.02976,0.10434,-0.12896,0.19684,0.12978,0.17414,0.1812,-0.01092,-0.22092
0.376,0.06028,-0.09502,-0.18284,0.0521,0.08764,-0.13422,0.19684,0.12978,0.17592,0.1812,-0.0131,-0.22092
0.378,0.06832,-0.10476,-0.1997,0.05954,0.10434,-0.15002,0.2068,0.13188,0.17592,0.1812,-0.0131,-0.22092
0.38,0.08442,-0.1145,-0.2222,0.05954,0.12938,-0.1658,0.20182,0.13398,0.17592,0.1812,-0.01748,-0.23206
0.382,0.07636,-0.12424,-0.22784,0.067,0.12938,-0.17108,0.20182,0.13398,0.17592,0.18464,-0.01528,-0.22464
0.384,0.06832,-0.13886,-0.23908,0.08188,0.13772,-0.18686,0.20182,0.13606,0.17592,0.18464,-0.0131,-0.22464
0.386,0.08442,-0.1486,-0.26158,0.08188,0.16276,-0.20266,0.2068,0.14026,0.17772,0.18464,-0.01092,-0.2172
0.388,0.11658,-0.1486,-0.2897,0.067,0.20452,-0.21318,0.2118,0.14444,0.18312,0.18808,-0.00656,-0.2135
0.39,0.11658,-0.15348,-0.29534,0.067,0.20452,-0.21844,0.2118,0.14444,0.1849,0.1898,-0.00436,-0.20978
0.392,0.11658,-0.1681,-0.3122,0.08188,0.21286,-0.23424,0.2118,0.14654,0.1867,0.19152,-0.00218,-0.20606
0.394,0.10854,-0.17296,-0.3122,0.08934,0.20452,-0.2395,0.2118,0.14444,0.1849,0.1898,-0.00656,-0.20978
0.396,0.10854,-0.17784,-0.31784,0.08934,0.21286,-0.24476,0.2118,0.14234,0.18312,0.18808,-0.00874,-0.20978
